S. No.,Month ,Crash Date,Crash Day,Article Date ,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type
17,January,1-Jan-22,Saturday,2-Jan-22,Arilova,Vizag,Andhra Pradesh,"17.76444710552003, 83.31365612724099",Two Wheeler,Two Wheeler,3,1,"21,16,21",Male,OR,Head On Collision 
18,January,31-Dec-21,Friday,2-Jan-22,Injambakkam,Chennai,Tamil Nadu,"12.917305822072388, 80.25066287055597",Two Wheeler,Divider,1,0,21,Male,SH,Fixed Object Collision
19,January,1-Jan-22,Saturday,3-Jan-22,Sitra Junction,Coimbatore,Tamil Nadu,"11.038158152772837, 77.03756589670454",Two Wheeler,Bus,1,0,47,Male,NH,Hit From Side
20,January,1-Jan-22,Saturday,3-Jan-22,Targhar ,Mumbai,Maharashtra,"18.991748018503824, 73.03711475232855",Two Wheeler,Unidentified,1,1,24,Female,NH,Hit and Run
21,January,1-Jan-22,Saturday,3-Jan-22,Ulwe Bridge,Mumbai,Maharashtra,"18.976004872607675, 73.03152779361652",Two Wheeler,Unidentified,1,0,46,Male,OR,Hit and Run
22,January,2-Jan-22,Sunday,3-Jan-22,Hokrani Cross,Nil,Karnataka,"16.572508890221638, 75.9754540804605",Car,Two Wheeler,1,4,31,Female,SH,Others
23,January,2-Jan-22,Sunday,3-Jan-22,Bevur Cross,Nil,Karnataka,"14.89006685560942, 76.22398648067914",Car,Nil,1,7,47,Female,SH,Vehicle Overturn
24,January,2-Jan-22,Sunday,4-Jan-22,Sidedahalli,Bengaluru,Karnataka,"13.066746957230484, 77.50327116691861",Two Wheeler,Truck,1,0,55,Male,SH,With Parked Vehicle
25,January,2-Jan-22,Sunday,4-Jan-22,Nagavara,Bengaluru,Karnataka,"13.040914155489357, 77.61704511801918",Two Wheeler,Pole,1,1,27,Male,NH,Fixed Object Collision
26,January,4-Jan-22,Tuesday,4-Jan-22,Peroorkada,Thiruvananthapuram,Kerala,"8.541149770701736, 76.97003582907308",Two Wheeler,Tree,3,0,"16,16,16",Male,SH,Fixed Object Collision
27,January,2-Jan-22,Sunday,4-Jan-22,Vhanali,Nil,Maharashtra,"16.5081867897076, 74.22019958556264",Truck,Tractor,2,6,"75,28",Male,OR,Hit From Side
28,January,4-Jan-22,Tuesday,5-Jan-22,Bala,Nil,Gujarat,"22.776769204616333, 71.72962248310266",Car,Nil,2,0,"67,62",Both,SH,Run Off Road
29,January,3-Jan-22,Monday,5-Jan-22,Gondal,Nil,Gujarat,"21.972787525777935, 70.78862073790624",Car,Truck,2,0,NA,NA,NH,Head On Collision 
30,January,3-Jan-22,Monday,5-Jan-22,Dhrol,Nil,Gujarat,"22.560348618536842, 70.4258539831936",Two Wheeler,Bus,2,0,"18,25",Male,SH,Others
31,January,3-Jan-22,Monday,5-Jan-22,Undri,Pune,Maharashtra,"18.45072219760597, 73.91614459634192",Car,Truck,1,0,50,Male,NH,Hit From Back
32,January,2-Jan-22,Sunday,5-Jan-22,Katraj-Dehu Bypass,Pune,Maharashtra,"18.486331175038483, 73.79708554934217",Two Wheeler,Unidentified,1,0,36,Male,NH,Hit and Run
33,January,4-Jan-22,Tuesday,5-Jan-22,Gadar Juddda,Nil,Uttarakhand,"29.794701671789223, 77.83802738617437",Two Wheeler,Truck,2,1,"33,30",Both,OR,Others
34,January,2-Jan-22,Sunday,5-Jan-22,Gomtinagar,Lucknow,Uttar Pradesh,"26.847744161614127, 81.00770583339522",Pedestrian,Unidentified,1,0,28,Male,NH,Hit and Run
35,January,6-Jan-22,Thursday,6-Jan-22,Purvanchal Expressway Sultanpur,Nil,Uttar Pradesh,"26.23244327782419, 82.075673988543",SUV,Divider,4,2,40,Both,NH,Fixed Object Collision
36,January,4-Jan-22,Tuesday,6-Jan-22,Shantinagar,Indore,Madhya Pradesh,"22.69729187357254, 75.90860390970307",Two Wheeler,Two Wheeler,1,2,60,Female,OR,Others
37,January,4-Jan-22,Tuesday,6-Jan-22,Manpur,Nil,Madhya Pradesh,"22.43115195743422, 75.61763951190622",Two Wheeler,Nil,1,0,25,Male,NH,Run Off Road
38,January,5-Jan-22,Wednesday,6-Jan-22,Santhipuram,Nil,Kerala,"9.478253797120738, 76.63121917622244",Auto Rickshaw,Nil,1,0,34,Male,OR,Run Off Road
39,January,6-Jan-22,Thursday,7-Jan-22,Hatherua Turn,Nil,Uttar Pradesh,"26.172269871051377, 79.96053447979006",Car,Tree,3,0,"25,20,21",Male,SH,Fixed Object Collision
40,January,6-Jan-22,Thursday,7-Jan-22,Lambasingi,Nil,Andhra Pradesh,"17.819637365225628, 82.4917244273879",Two Wheeler,Lorry,1,1,13,Male,NH,Others
41,January,5-Jan-22,Wednesday,7-Jan-22,Patancheru,Nil,Telangana,"17.52559528053733, 78.27114402473659",Auto Rickshaw,Divider,3,2,"24,34,26",Male,NH,Fixed Object Collision
42,January,6-Jan-22,Thursday,8-Jan-22,ORR PES College,Bengaluru,Karnataka,"12.93497388725656, 77.53145535271094",Two Wheeler,Divider,2,0,"28,30",Male,SH,Fixed Object Collision
43,January,6-Jan-22,Thursday,8-Jan-22,Nagarbhavi Junction,Bengaluru,Karnataka,"12.967955279692166, 77.52407059158364",Two Wheeler,Divider,1,0,38,Male,OR,Fixed Object Collision
44,January,6-Jan-22,Thursday,8-Jan-22,Chinyalisour,Nil,Uttarakhand,"30.56554678240335, 78.32522300136368",Car,Gorge,1,4,40,Male,NH,Vehicle Overturn
45,January,7-Jan-22,Friday,8-Jan-22,Sahaspur Bridge,Nil,Uttarakhand,"30.38157293024726, 77.79771572590872",Car,Nil,1,1,25,Male,OR,Run Off Road
46,January,7-Jan-22,Friday,8-Jan-22,NICE Road,Bengaluru,Karnataka,"12.858376301854657, 77.52802094205354",SUV,Truck,4,0,"25,25,30,27",Both,OR,Hit From Back
47,January,7-Jan-22,Friday,8-Jan-22,Sola Overbridge,Ahmedabad,Gujarat,"23.059882776138668, 72.52057320671621",SUV,Truck,1,0,20,Male,NH,Hit From Back
48,January,8-Jan-22,Saturday,9-Jan-22,Gopalapuram,Nil,Andhra Pradesh,"17.10266311413749, 81.54442477542945",Two Wheeler,Tractor,1,0,NA,Male,NH,Others
49,January,8-Jan-22,Saturday,9-Jan-22,Jeelkunta,Nil,Andhra Pradesh,"17.033617916586227, 80.64713177640807",Two Wheeler,Car,1,0,NA,Male,NH,Head On Collision 
50,January,9-Jan-22,Sunday,9-Jan-22,Nandgaon,Nil,Maharashtra,"20.313796870359038, 74.66384510003404",Bus,Truck,4,14,72,Both,SH,Head On Collision 
51,January,9-Jan-22,Sunday,10-Jan-22,Botad,Nil,Gujarat,"22.17985011402323, 71.65078918083432",Van,Unidentified,5,10,NA,NA,SH,Hit and Run
52,January,9-Jan-22,Sunday,10-Jan-22,Sheekanagar,Vizag,Andhra Pradesh,"17.716464062931237, 83.20411089794794",Two Wheeler,Two Wheeler,1,0,24,Male,SH,Others
53,January,9-Jan-22,Sunday,10-Jan-22,Botad,Nil,Gujarat,"22.15122333271011, 71.65877930084991",Van,Unidentified,5,10,"27, 48",Both,NH,Others
54,January,9-Jan-22,Sunday,10-Jan-22,Lawan,Nil,Chhatisgarh,"21.644400876907138, 82.34278934682449",SUV,Nil,1,5,NA,Female,NH,Run Off Road
55,January,9-Jan-22,Sunday,10-Jan-22,Mumbai Naka,Mumbai,Maharashtra,"19.9864533330699, 73.78419165143977",Bicycle,Unidentified,1,0,63,Male,NH,Others
56,January,10-Jan-22,Monday,11-Jan-22,Kumbalagodu,Nil,Karnataka,"12.879137929078608, 77.4456388022993",Two Wheeler,Truck,6,0,"44,40,14,29",Both,NH,Others
57,January,10-Jan-22,Monday,11-Jan-22,Navale Bridge,Pune,Maharashtra,"18.46087329898162, 73.82215405131329",Two Wheeler,Truck,1,1,30,Female,NH,Hit From Back
58,January,9-Jan-22,Sunday,11-Jan-22,Arjunahalli Gate,Nil,Karnataka,"12.52753677679566, 76.3833438370817",Two Wheeler,Truck,2,1,"32,40",Male,OR,Hit and Run
59,January,9-Jan-22,Sunday,11-Jan-22,Kishangarh,Nil,Rajasthan,"26.589105945186247, 74.85948627660595",Two Wheeler,Truck,1,1,20,Female,NH,Others
60,January,9-Jan-22,Sunday,12-Jan-22,Mirchi Hotel,Nashik,Maharashtra,"20.006780537290215, 73.8291134262243",Two Wheeler,Truck,1,0,41,Male,OR,Others
61,January,9-Jan-22,Sunday,12-Jan-22,RTO Office ,Nashik,Maharashtra,"20.033277226299347, 73.79524144570404",Two Wheeler,Pole,1,0,42,Male,NH,Fixed Object Collision
62,January,9-Jan-22,Sunday,12-Jan-22,Nashik Road,Nashik,Maharashtra,"19.969737942887757, 73.81769001774795",Two Wheeler,Two Wheeler,2,0,26,Male,SH,Head On Collision 
63,January,11-Jan-22,Tuesday,12-Jan-22,Adigoppula,Nil,Andhra Pradesh,"16.436925517988787, 79.61217474801305",Car,Canal,3,0,NA,NA,SH,Run Off Road
64,January,9-Jan-22,Sunday,13-Jan-22,Konankunte Cross,Bengaluru,Karnataka,"12.889577748612352, 77.56353894092923",Pedestrian,Unidentified,1,1,6,Female,OR,Hit and Run
65,January,12-Jan-22,Wednesday,13-Jan-22,Atlas Chowk,Nil,Haryana,"28.490430130784237, 77.08153241633956",Car,Truck,1,0,27,Male,NH,With Parked Vehicle
66,January,12-Jan-22,Wednesday,14-Jan-22,Budihal Cross,Nil,Karnataka,"13.130457182123903, 77.35974095043811",Two Wheeler,Pick Up,1,0,19,Male,NH,Others
67,January,14-Jan-22,Friday,14-Jan-22,Kananakatte,Nil,Karnataka,"14.553328636829782, 76.43302899167439",Car,Divider,7,0,NA,NA,NH,Fixed Object Collision
68,January,13-Jan-22,Thursday,14-Jan-22,Vajarahalli Cross,Bengaluru,Karnataka,"12.874086694098173, 77.54072195604662",Two Wheeler,Truck,1,1,6,Female,OR,Others
69,January,13-Jan-22,Thursday,14-Jan-22,Bicholi Mardana,Indore,Madhya Pradesh,"22.708244322203562, 75.92920211827541",Two Wheeler,Pick Up,3,3,26,Both,NH,Others
70,January,14-Jan-22,Friday,15-Jan-22,Ratnamala Square ,Nil,Maharashtra,"20.23465588078181, 79.01543924056895",Bus,Truck,2,12,NA,NA,NH,Head On Collision 
71,January,14-Jan-22,Friday,15-Jan-22,Pozhiyoor,Nil,Kerala,"8.30188369743812, 77.09326536242052",Pedestrian,Unidentified,1,0,45,Male,OR,Hit and Run
72,January,14-Jan-22,Friday,15-Jan-22,Kolkata Airport,Kolkata,West Bengal,"22.64953470429659, 88.43818561245637",Tractor,Nil,1,0,NA,Male,OR,Vehicle Overturn
73,January,14-Jan-22,Friday,15-Jan-22,Kakkanad,Nil,Kerala,"10.011092687874317, 76.3421924153654",Two Wheeler,Divider,1,1,19,Male,SH,Fixed Object Collision
74,January,15-Jan-22,Saturday,16-Jan-22,Colva ,Nil,Goa,"15.281550861387068, 73.94696758933536",Two Wheeler,Car,2,0,"30,30",Male,OR,Others
75,January,15-Jan-22,Saturday,16-Jan-22,Chimrani,Nil,Rajasthan,"27.118968964289532, 73.67248311917048",Car,Bus,5,2,"22,12,10,10,65",Both,NH,Others
76,January,15-Jan-22,Saturday,16-Jan-22,Vatva,Ahmedabad,Gujarat,"22.961108702798008, 72.61966017499154",Two Wheeler,Unidentified,2,0,NA,Both,OR,Hit and Run
77,January,16-Jan-22,Sunday,17-Jan-22,Laklaka,Nil,Madhya Pradesh,"23.523684332362315, 79.37929010088607",Two Wheeler,Two Wheeler,3,2,"20,28,25",Male,OR,Head On Collision 
78,January,16-Jan-22,Sunday,17-Jan-22,Mandla,Nil,Madhya Pradesh,"22.601570130287165, 80.38020370045963",Tractor,Nil,3,0,"18,18,17",Male,SH,Run Off Road
79,January,16-Jan-22,Sunday,17-Jan-22,Sailana,Nil,Madhya Pradesh,"23.459623017585365, 74.92905852422956",Pedestrian,Car,1,0,NA,Female,OR,Hit and Run
80,January,15-Jan-22,Saturday,17-Jan-22,Jandiali,Nil,Punjab,"31.21441147347508, 75.62514255479414",Two Wheeler,Car,2,1,"17,16",Male,OR,Hit From Back
81,January,17-Jan-22,Monday,18-Jan-22,Sahson Crossing,Nil,Uttar Pradesh,"25.484100715535924, 81.97930524084148",Pedestrian,Van,1,0,45,Male,SH,Hit and Run
82,January,17-Jan-22,Monday,18-Jan-22,Gurukul Vidhyala Road,Prayagraj,Uttar Pradesh,"25.513167610968466, 81.8661763224527",Truck,Canal,1,1,31,Male,NH,Vehicle Overturn
83,January,16-Jan-22,Sunday,18-Jan-22,Powai,Mumbai,Maharashtra,"19.121440192296998, 72.90781946380115",Two Wheeler,Truck,1,2,47,Female,OR,Others
84,January,18-Jan-22,Tuesday,19-Jan-22,Khanpur,Nil,Rajasthan,"24.767306763386095, 76.39400027518448",Nil,Nil,1,2,25,Male,NH,Others
85,January,18-Jan-22,Tuesday,19-Jan-22,Katesar,Nil,Uttar Pradesh,"27.76748297692978, 80.84767138661462",Two Wheeler,Truck,1,1,40,Male,SH,Hit From Side
86,January,16-Jan-22,Sunday,19-Jan-22,Hotel Shetkari Mala ,Pune,Maharashtra,"18.553896418910426, 73.7243675904804",Two Wheeler,Nil,1,0,35,Male,OR,Run Off Road
87,January,15-Jan-22,Saturday,20-Jan-22,Oberoi Mall,Mumbai,Maharashtra,"19.17442005976027, 72.85976934887162",Two Wheeler,Truck,2,1,"25,2",Both,OR,Head On Collision 
88,January,20-Jan-22,Thursday,20-Jan-22,Pali Wala,Nil,Rajasthan,"29.449454153821858, 73.87581502395967",Truck,Truck,3,0,24,Male,NH,Head On Collision 
89,January,18-Jan-22,Tuesday,20-Jan-22,Tardoli,Nil,Maharashtra,"18.261509125346837, 74.3476151574748",Car,Tractor,3,1,"48,62,24",Both,OR,Hit From Back
90,January,19-Jan-22,Wednesday,20-Jan-22,Road 17 VKI,Jaipur,Rajasthan,"26.921072245843384, 75.80705975340842",Bus,Truck,2,5,NA,Both,OR,Head On Collision 
91,January,19-Jan-22,Wednesday,21-Jan-22,Veeraghattam,Nil,Andhra Pradesh,"18.687104227193668, 83.61095538153519",Two Wheeler,Culvert,1,0,40,Male,SH,Fixed Object Collision
92,January,19-Jan-22,Wednesday,21-Jan-22,Meliaputti,Nil,Andhra Pradesh,"18.77406040183497, 84.17383431188013",Pedestrian,Van,1,0,40,Male,SH,Hit From Side
93,January,19-Jan-22,Wednesday,21-Jan-22,Hotel Sheraton,Indore,Madhya Pradesh,"22.7741266742808, 75.93616228783264",Pedestrian,Truck,1,0,50,Male,NH,Hit and Run
94,January,21-Jan-22,Friday,22-Jan-22,Naranpura,Ahmedabad,Gujarat,"23.056229102084114, 72.54839248535511",Two Wheeler,Truck,1,1,52,Male,NH,Hit From Back
95,January,21-Jan-22,Friday,22-Jan-22,KR Puram,Bengaluru,Karnataka,"13.013395634204327, 77.69952194675402",Pedestrian,Truck,1,0,28,Male,NH,Hit and Run
96,January,20-Jan-22,Thursday,22-Jan-22,Shewalwadi,Pune,Maharashtra,"18.496302418026232, 73.97119797630161",Two Wheeler,Unidentified,1,2,21,Male,NH,Hit and Run
97,January,22-Jan-22,Saturday,23-Jan-22,Bidu,Nil,Odisha,"21.281443452879415, 86.69191416872226",Bus,Truck,6,20,NA,Both,OR,Hit From Back
98,January,21-Jan-22,Friday,23-Jan-22,Hatkeshwar Circle,Ahmedabad,Gujarat,"22.998945315199972, 72.62465978696193",Two Wheeler,Truck,1,1,30,Female,OR,Others
99,January,22-Jan-22,Saturday,23-Jan-22,O'Coqueiro Junction,Nil,Goa,"15.531446645685621, 73.82481100458244",Two Wheeler,Truck,2,0,"17,20",Male,NH,Others
100,January,23-Jan-22,Sunday,24-Jan-22,Shikrapur,Nil,Maharashtra,"18.684734908209716, 74.11586934949585",Two Wheeler,Truck,5,5,NA,NA,SH,Others
101,January,23-Jan-22,Sunday,24-Jan-22,Bahadurpur,Nil,Bihar,"25.192410594168933, 82.8270546312142",Pedestrian,Car,2,1,"4,50",Both,OR,Hit From Side
102,January,22-Jan-22,Saturday,24-Jan-22,Chunar,Nil,Uttar Pradesh,"25.10276774054831, 82.8672602963507",Two Wheeler,Tree,1,0,30,Male,NH,Fixed Object Collision
103,January,22-Jan-22,Saturday,24-Jan-22,Morod ,Indore,Madhya Pradesh,"22.637960655646225, 75.86771888717327",Two Wheeler,Truck,1,2,30,Female,NH,Others
104,January,22-Jan-22,Saturday,24-Jan-22,Usmanpur,Ahmedabad,Gujarat,"23.04697914071979, 72.56910733421006",Two Wheeler,Bus,1,1,48,Male,OR,Hit From Back
105,January,22-Jan-22,Saturday,24-Jan-22,Bhumkar Chowk,Nil,Maharashtra,"18.605266069304246, 73.75217758015306",Two Wheeler,Truck,1,0,28,Male,NH,With Parked Vehicle
106,January,25-Jan-22,Tuesday,25-Jan-22,Selsura ,Nil,Maharashtra,"20.637156359208134, 78.47350022936271",Car,River,7,0,NA,Male,NH,Vehicle Overturn
107,January,23-Jan-22,Sunday,25-Jan-22,Pappanchatram,Nil,Tamil Nadu,"13.032318332628448, 80.03671137585036",Car,Truck,1,1,32,Female,NH,Others
108,January,23-Jan-22,Sunday,25-Jan-22,Metro colony,Kolkata,West Bengal,"22.61203487217105, 88.39303596485522",Bicycle,Truck,1,0,34,Male,OR,Others
109,January,23-Jan-22,Sunday,25-Jan-22,Papanchataram,Nil,Tamil Nadu,"13.032541681756019, 80.0371376290023",Car,Car,1,0,43,Female,NH,Head On Collision 
110,January,23-Jan-22,Sunday,25-Jan-22,Pithampur,Indore,Madhya Pradesh,"22.594745827533117, 75.7003748573627",Two Wheeler,Truck,1,0,27,Male,NH,Hit From Back
111,January,24-Jan-22,Monday,26-Jan-22,Ramgarh Bhullar,Nil,Punjab,"30.858836810837854, 75.48669577236953",Auto Rickshaw,Truck,1,2,40,Male,OR,With Parked Vehicle
112,January,25-Jan-22,Tuesday,26-Jan-22,Nishatpura,Bhopal,Madhya Pradesh,"23.293852728757138, 77.43635540033472",Pedestrian,Truck,1,0,35,Male,OR,Hit and Run
113,January,27-Jan-22,Thursday,27-Jan-22,Chilakaluripet,Nil,Andhra Pradesh,"16.080937609341778, 80.15831819833785",Car,Truck,2,1,NA,Male,NH,Others
114,January,26-Jan-22,Wednesday,27-Jan-22,Chinchani,Nil,Maharashtra,"19.883564516772523, 72.68264417660346",Pedestrian,Car,1,5,NA,Female,OR,Head On Collision 
115,January,27-Jan-22,Thursday,28-Jan-22,Ranmochan T Point,Nil,Maharashtra,"20.608413591260497, 79.85587713179397",Car,Tractor,2,2,"47,54",Male,NH,Hit From Side
116,January,26-Jan-22,Wednesday,28-Jan-22,Banashankari,Bengaluru,Karnataka,"12.953940017532453, 77.54359380855148",Two Wheeler,Divider,1,0,37,Male,NH,Fixed Object Collision
117,January,27-Jan-22,Thursday,28-Jan-22,Darsi,Nil,Andhra Pradesh,"15.75873311270647, 79.67422646980734",Car,Tractor,2,1,NA,Male,NH,Hit From Back
118,January,27-Jan-22,Thursday,28-Jan-22,Kolukhedi ,Nil,Madhya Pradesh,"23.53469623782937, 77.22595938027769",SUV,Tree,1,3,22,Male,NH,Fixed Object Collision
119,January,26-Jan-22,Wednesday,29-Jan-22,Ummalada,Nil,Andhra Pradesh,"17.647684108050818, 82.99488444844167",Two Wheeler,Lorry,2,0,"45,40",Both,SH,Others
120,January,27-Jan-22,Thursday,29-Jan-22,Harsil,Nil,Uttarakhand,"31.037472816888762, 78.73627773458514",Car,Gorge,2,2,"50,20",Both,NH,Vehicle Overturn
121,January,28-Jan-22,Friday,29-Jan-22,Sujatha Nagar,Nil,Telangana,"17.490912151289685, 80.57321678720476",Pick Up,Truck,4,8,"27,40,52,42",Female,SH,Others
122,January,28-Jan-22,Friday,30-Jan-22,Siddheshwara Temple,Nil,Karnataka,"15.903511995945669, 74.55948072624453",Pedestrian,Car,1,1,19,Male,OR,Hit From Back
123,January,28-Jan-22,Friday,30-Jan-22,Badangi,Nil,Andhra Pradesh,"18.4954422867835, 83.36932057015237",Pedestrian,Unidentified,1,0,12,Male,SH,Hit and Run
124,January,30-Jan-22,Sunday,30-Jan-22,Kamam,Nil,Telangana,"18.428038071455486, 79.13507468317677",Pedestrian,SUV,4,2,"27,20,32,14",Both,NH,Hit and Run
125,January,30-Jan-22,Sunday,31-Jan-22,Pallikaranai,Chennai,Tamil Nadu,"12.941901560510074, 80.20647395762994",Truck,Truck,1,5,30,Male,OR,Head On Collision 
126,January,30-Jan-22,Sunday,31-Jan-22,Taat Mill Junction,Kanpur,Uttar Pradesh,"26.448594325625667, 80.343810933111",Pedestrian,Bus,6,9,NA,NA,OR,Others
127,January,29-Jan-22,Saturday,31-Jan-22,Sholavaram,Nil,Tamil Nadu,"13.235809378630744, 80.16228431393661",Two Wheeler,Lorry,2,0,"20,21",Male,OR,Hit From Back
128,January,30-Jan-22,Sunday,31-Jan-22,Rajaram Village,Nil,Telangana,"18.989326374344998, 79.08330736132393",Two Wheeler,Auto Rickshaw,3,0,"21,26,26",Both,OR,Head On Collision 
129,February,31-Jan-22,Monday,1-Feb-22,Ranigaon,Nil,Rajasthan,"27.092451869286297, 74.42748015803826",Car,Nil,1,3,35,Male,SH,Run Off Road
130,February,31-Jan-22,Monday,1-Feb-22,Nakoda ,Nil,Rajasthan,"25.792933776374106, 72.1629058029464",Two Wheeler,Truck,1,0,NA,Male,OR,Head On Collision 
131,February,1-Feb-22,Tuesday,1-Feb-22,Bandri,Nil,Madhya Pradesh,"24.044934899671098, 78.6394929061528",Car,Unidentified,3,0,"21,23,25",Male,NH,Hit and Run
132,February,1-Feb-22,Tuesday,1-Feb-22,Balaghat ,Nil,Madhya Pradesh,"21.815346974057224, 80.17806276395049",Car,Truck,1,3,NA,Male,SH,Others
133,February,31-Jan-22,Monday,2-Feb-22,Gondal road,Rajkot,Gujarat,"22.209325349494875, 70.8009083158295",Two Wheeler,Truck,1,1,18,Male,NH,Hit From Back
134,February,31-Jan-22,Monday,2-Feb-22,Bhawarkua,Indore,Madhya Pradesh,"22.68448170947923, 75.86399687841984",Pedestrian,Bus,1,0,20,Male,OR,Others
135,February,3-Feb-22,Thursday,3-Feb-22,Kishtawar,Nil,Jammu,"33.303370177922346, 75.77549202867355",Car,Gorge,6,0,NA,Both,OR,Vehicle Overturn
136,February,2-Feb-22,Wednesday,3-Feb-22,AB Road Junction,Nil,Madhya Pradesh,"22.48983884444052, 75.66671181495484",Two Wheeler,Unidentified,1,2,27,Female,NH,Hit and Run
137,February,1-Feb-22,Tuesday,3-Feb-22,Ramenahalli,Nil,Karnataka,"12.293012045391656, 76.2663866231776",Car,Truck,2,2,"19,20",Male,OR,Others
138,February,3-Feb-22,Thursday,4-Feb-22,Lankelapalem,Vizag,Andhra Pradesh,"17.666465319754213, 83.09425625830963",Pedestrian,Unidentified,1,0,65,Female,SH,Hit and Run
139,February,3-Feb-22,Thursday,4-Feb-22,Barmer Rd,Nil,Rajasthan,"26.910703910916826, 70.9337404020313",SUV,Truck,3,1,"32,5",Both,NH,Others
140,February,3-Feb-22,Thursday,4-Feb-22,Sankli,Nil,Gujarat,"21.040615852412476, 73.4061732227355",Two Wheeler,Bus,3,2,NA,Both,OR,Others
141,February,3-Feb-22,Thursday,4-Feb-22,Arayankavu,Nil,Kerala,"9.83194947142872, 76.4244288982524",Two Wheeler,Car,1,0,27,Male,OR,Head On Collision 
142,February,3-Feb-22,Thursday,4-Feb-22,Nettoor,Kochi,Kerala,"9.929597110544417, 76.31779942841041",Two Wheeler,Truck,1,0,35,Male,NH,Hit From Back
143,February,2-Feb-22,Wednesday,4-Feb-22,Nadiad,Nil,Gujarat,"22.682739814166254, 72.90717749509794",Truck,Truck,1,1,40,Male,NH,Others
144,February,3-Feb-22,Thursday,5-Feb-22,Nadbai Police Station ,Nil,Rajasthan,"27.21585406766396, 77.20152201303823",Two Wheeler,Tractor,1,2,NA,Male,SH,Others
145,February,3-Feb-22,Thursday,5-Feb-22,Bhilwadi Ghati,Nil,Rajasthan,"27.41685838705793, 76.10444383342535",Car,Truck,3,0,NA,NA,NH,Head On Collision 
146,February,3-Feb-22,Thursday,5-Feb-22,Tiruvallur,Nil,Tamil Nadu,"13.12297281283396, 79.91173226564752",Two Wheeler,Truck,1,1,37,Male,SH,Hit From Back
147,February,3-Feb-22,Thursday,5-Feb-22,Thiruvallur,Nil,Tamil Nadu,"13.126032102413575, 79.91089197828818",Pedestrian,Truck,1,0,65,Male,SH,Hit and Run
