Incident_ID,State,District,Incident_Date,Pollution_Type,Pollution_Level_PPM,Trees_Destroyed,Area_Affected_Ha,Cause,Recovery_Status,Damage_Estimate_INR,Wildlife_Affected,River_or_Lake_Polluted,Govt_Response_Time_Days,NGOs_Involved,Rainfall_mm,Soil_Erosion_Level,Air_Quality_Index,Water_pH_Level,Green_Cover_Loss_Percent,Industrial_Area_Nearby,Is_Protected_Area
21,Karnataka,District_7,2015-10-23,Soil,350.9,394,79.81,Illegal Dumping,Recovered,1424132,237,Yes,102,6,139.3,3.23,71,7.03,26.4,No,Yes
22,Maharashtra,District_2,2011-07-29,Water,350.9,65,40.08,Illegal Dumping,Recovered,2936510,237,Yes,144,3,139.3,3.23,79,7.03,26.4,Yes,Yes
23,Kerala,District_5,2014-12-09,Water,350.9,127,49.73,Illegal Dumping,Recovered,2197366,21,No,106,2,139.3,3.23,216,7.03,26.4,Yes,No
24,Gujarat,District_7,2012-04-25,Air,350.9,397,88.18,Illegal Dumping,Partially Recovered,4554198,179,No,82,5,139.3,3.23,197,7.03,26.4,Yes,No
25,Punjab,District_4,2010-07-25,Air,350.9,262,41.88,Agricultural Runoff,Partially Recovered,4838082,46,Yes,86,8,139.3,3.23,98,7.03,26.4,Yes,No
26,Maharashtra,District_5,2012-02-19,Soil,350.9,295,54.21,Industrial Waste,Recovered,4751185,278,Yes,14,2,139.3,3.23,374,7.03,26.4,Yes,No
27,Kerala,District_1,2010-09-22,Soil,350.9,277,5.88,Illegal Dumping,Partially Recovered,1808336,223,Yes,165,7,139.3,3.23,347,7.03,26.4,Yes,Yes
28,Tamil Nadu,District_1,2013-07-29,Water,350.9,300,1.23,Agricultural Runoff,Unrecovered,2741305,217,No,49,5,139.3,3.23,311,7.03,26.4,Yes,Yes
29,Bihar,District_15,2014-03-23,Air,350.9,342,25.24,Agricultural Runoff,Recovered,1567541,236,Yes,50,3,139.3,3.23,230,7.03,26.4,Yes,No
30,West Bengal,District_20,2022-12-01,Soil,350.9,189,68.38,Agricultural Runoff,Partially Recovered,4666745,203,Yes,164,4,139.3,3.23,339,7.03,26.4,Yes,Yes
31,Punjab,District_19,2020-12-06,Soil,350.9,424,13.01,Urban Expansion,Recovered,967867,18,Yes,23,2,139.3,3.23,171,7.03,26.4,No,Yes
32,Tamil Nadu,District_10,2020-02-28,Mixed,350.9,367,12.26,Urban Expansion,Recovered,2056303,179,No,66,1,139.3,3.23,173,7.03,26.4,Yes,Yes
33,Karnataka,District_18,2015-12-15,Soil,350.9,244,41.69,Agricultural Runoff,Partially Recovered,2848429,161,Yes,173,8,139.3,3.23,315,7.03,26.4,Yes,No
34,Tamil Nadu,District_3,2011-10-20,Water,350.9,352,65.14,Illegal Dumping,Unrecovered,3113781,284,No,115,2,139.3,3.23,77,7.03,26.4,Yes,Yes
35,Bihar,District_11,2010-10-11,Air,350.9,205,71.5,Industrial Waste,Recovered,142192,60,No,28,5,139.3,3.23,308,7.03,26.4,No,No
36,Karnataka,District_15,2023-07-03,Soil,350.9,317,18.67,Deforestation,Unrecovered,1228710,84,No,20,4,139.3,3.23,126,7.03,26.4,No,Yes
37,Punjab,District_11,2021-03-02,Mixed,350.9,89,8.88,Urban Expansion,Partially Recovered,3170941,34,No,177,9,139.3,3.23,243,7.03,26.4,Yes,Yes
38,Bihar,District_17,2012-01-17,Air,350.9,144,94.1,Illegal Dumping,Recovered,1827851,4,Yes,121,7,139.3,3.23,84,7.03,26.4,Yes,No
39,Uttar Pradesh,District_17,2012-11-07,Soil,350.9,31,26.81,Illegal Dumping,Partially Recovered,1797895,75,No,97,4,139.3,3.23,163,7.03,26.4,No,No
40,West Bengal,District_6,2015-09-18,Mixed,350.9,486,85.48,Deforestation,Partially Recovered,1612813,252,No,119,7,139.3,3.23,111,7.03,26.4,Yes,Yes
41,Punjab,District_5,2020-04-20,Soil,350.9,340,86.49,Deforestation,Partially Recovered,2874512,6,No,109,4,139.3,3.23,101,7.03,26.4,No,No
42,Uttar Pradesh,District_8,2017-01-05,Air,350.9,449,77.48,Illegal Dumping,Partially Recovered,3625501,168,Yes,26,9,139.3,3.23,165,7.03,26.4,Yes,No
43,Kerala,District_2,2021-06-10,Air,350.9,234,17.71,Deforestation,Recovered,4418784,129,Yes,147,5,139.3,3.23,96,7.03,26.4,No,Yes
44,Punjab,District_16,2023-08-09,Air,350.9,67,82.36,Illegal Dumping,Unrecovered,1423153,137,Yes,106,4,139.3,3.23,150,7.03,26.4,No,No
45,Kerala,District_20,2011-11-24,Water,350.9,102,77.16,Deforestation,Unrecovered,4936958,299,Yes,141,1,139.3,3.23,328,7.03,26.4,Yes,No
46,Karnataka,District_12,2013-01-02,Soil,350.9,201,60.08,Deforestation,Recovered,421973,90,No,62,9,139.3,3.23,156,7.03,26.4,No,No
47,Uttar Pradesh,District_6,2010-06-19,Water,350.9,112,34.38,Illegal Dumping,Recovered,521213,162,No,126,9,139.3,3.23,84,7.03,26.4,No,No
48,West Bengal,District_1,2015-05-08,Air,350.9,405,26.99,Agricultural Runoff,Unrecovered,4719042,252,No,142,5,139.3,3.23,337,7.03,26.4,No,No
49,Bihar,District_4,2012-06-22,Mixed,350.9,16,13.07,Illegal Dumping,Unrecovered,4619639,200,Yes,139,6,139.3,3.23,51,7.03,26.4,Yes,No
50,Odisha,District_17,2022-04-04,Soil,350.9,137,51.47,Industrial Waste,Recovered,3865074,19,Yes,67,2,139.3,3.23,288,7.03,26.4,Yes,Yes
51,Tamil Nadu,District_13,2017-01-06,Water,350.9,64,58.94,Deforestation,Partially Recovered,3513965,228,Yes,12,2,139.3,3.23,321,7.03,26.4,No,No
52,Maharashtra,District_18,2014-11-12,Soil,350.9,240,36.57,Urban Expansion,Recovered,4467952,162,No,35,6,139.3,3.23,193,7.03,26.4,No,No
53,West Bengal,District_5,2012-08-02,Mixed,350.9,371,48.06,Deforestation,Unrecovered,1048985,164,No,110,9,139.3,3.23,141,7.03,26.4,Yes,Yes
54,Uttar Pradesh,District_3,2020-01-14,Water,350.9,71,36.99,Industrial Waste,Partially Recovered,913153,231,No,167,3,139.3,3.23,270,7.03,26.4,Yes,No
55,Odisha,District_11,2011-07-24,Air,350.9,249,64.46,Urban Expansion,Unrecovered,4279731,237,Yes,160,1,139.3,3.23,103,7.03,26.4,Yes,No
56,West Bengal,District_13,2011-03-21,Water,350.9,99,90.22,Urban Expansion,Partially Recovered,23898,119,Yes,14,8,139.3,3.23,277,7.03,26.4,No,Yes
57,Uttar Pradesh,District_4,2022-07-07,Soil,350.9,241,17.23,Illegal Dumping,Unrecovered,937976,106,No,155,8,139.3,3.23,82,7.03,26.4,Yes,Yes
58,Gujarat,District_14,2022-04-12,Soil,350.9,466,38.76,Agricultural Runoff,Partially Recovered,1139376,249,Yes,101,5,139.3,3.23,263,7.03,26.4,Yes,No
59,Gujarat,District_11,2021-05-27,Soil,350.9,242,14.95,Illegal Dumping,Recovered,2478319,283,No,60,1,139.3,3.23,185,7.03,26.4,Yes,No
60,Kerala,District_10,2012-12-07,Soil,350.9,363,62.87,Urban Expansion,Recovered,1185294,197,No,43,2,139.3,3.23,297,7.03,26.4,Yes,Yes
61,West Bengal,District_19,2011-05-04,Air,350.9,342,73.16,Urban Expansion,Partially Recovered,2084632,219,Yes,55,4,139.3,3.23,102,7.03,26.4,No,No
62,Gujarat,District_18,2010-07-30,Water,350.9,448,93.26,Agricultural Runoff,Partially Recovered,1792474,150,No,109,4,139.3,3.23,113,7.03,26.4,No,No
63,Uttar Pradesh,District_6,2013-01-10,Air,350.9,384,28.61,Deforestation,Recovered,777877,285,No,93,8,139.3,3.23,363,7.03,26.4,Yes,Yes
64,Kerala,District_15,2019-01-26,Air,350.9,301,95.07,Agricultural Runoff,Recovered,4335168,264,No,163,9,139.3,3.23,86,7.03,26.4,No,Yes
65,Uttar Pradesh,District_10,2019-10-01,Air,350.9,354,7.26,Illegal Dumping,Partially Recovered,4167018,219,No,95,2,139.3,3.23,261,7.03,26.4,Yes,Yes
66,Kerala,District_5,2012-09-19,Soil,350.9,161,60.7,Deforestation,Partially Recovered,2043839,215,No,160,1,139.3,3.23,61,7.03,26.4,No,No
67,West Bengal,District_5,2013-03-27,Soil,350.9,437,6.66,Illegal Dumping,Recovered,4435108,155,Yes,147,9,139.3,3.23,133,7.03,26.4,Yes,Yes
68,Odisha,District_10,2021-09-03,Soil,350.9,154,89.48,Agricultural Runoff,Unrecovered,4992816,215,No,95,7,139.3,3.23,143,7.03,26.4,Yes,No
69,Bihar,District_5,2012-05-28,Water,350.9,139,53.45,Deforestation,Recovered,3300576,113,Yes,167,6,139.3,3.23,391,7.03,26.4,No,Yes
70,Punjab,District_3,2019-02-25,Mixed,350.9,150,67.27,Agricultural Runoff,Partially Recovered,4128684,160,No,148,8,139.3,3.23,256,7.03,26.4,Yes,Yes
71,Odisha,District_6,2016-07-15,Soil,350.9,424,83.33,Industrial Waste,Partially Recovered,1243460,97,Yes,28,2,139.3,3.23,87,7.03,26.4,Yes,No
72,Karnataka,District_4,2010-09-05,Water,350.9,102,15.88,Urban Expansion,Unrecovered,1136161,156,Yes,3,5,139.3,3.23,397,7.03,26.4,No,Yes
73,Uttar Pradesh,District_18,2018-02-01,Soil,350.9,123,4.82,Deforestation,Recovered,1510334,161,Yes,160,4,139.3,3.23,252,7.03,26.4,Yes,No
74,Karnataka,District_9,2022-05-07,Soil,350.9,293,88.01,Urban Expansion,Partially Recovered,3279875,41,No,86,4,139.3,3.23,319,7.03,26.4,No,No
75,Odisha,District_17,2010-10-03,Air,350.9,453,32.18,Industrial Waste,Recovered,2495146,179,Yes,108,9,139.3,3.23,124,7.03,26.4,Yes,No
76,Kerala,District_13,2019-06-10,Air,350.9,420,13.77,Deforestation,Partially Recovered,2246489,50,No,170,7,139.3,3.23,177,7.03,26.4,Yes,No
77,Punjab,District_15,2013-12-26,Air,350.9,152,47.38,Urban Expansion,Unrecovered,1449592,251,No,117,0,139.3,3.23,378,7.03,26.4,No,No
78,Punjab,District_20,2012-01-08,Water,350.9,232,60.23,Urban Expansion,Recovered,808892,119,Yes,108,0,139.3,3.23,201,7.03,26.4,No,Yes
79,Maharashtra,District_17,2020-11-10,Mixed,350.9,241,4.07,Deforestation,Recovered,3683493,74,Yes,15,2,139.3,3.23,59,7.03,26.4,Yes,Yes
80,Punjab,District_13,2015-02-20,Mixed,350.9,472,28.21,Urban Expansion,Unrecovered,2351152,161,No,62,1,139.3,3.23,87,7.03,26.4,Yes,No
81,Bihar,District_16,2013-05-01,Water,350.9,42,4.25,Urban Expansion,Partially Recovered,4048913,148,No,31,1,139.3,3.23,154,7.03,26.4,No,No
82,Punjab,District_4,2019-03-26,Soil,350.9,285,42.61,Deforestation,Partially Recovered,4478298,122,No,26,1,139.3,3.23,214,7.03,26.4,No,No
83,Odisha,District_5,2015-12-20,Water,350.9,179,89.61,Urban Expansion,Recovered,1996889,140,Yes,148,3,139.3,3.23,81,7.03,26.4,Yes,No
84,Maharashtra,District_5,2012-02-01,Soil,350.9,149,98.28,Urban Expansion,Unrecovered,2046966,181,No,66,0,139.3,3.23,261,7.03,26.4,Yes,Yes
85,Odisha,District_9,2015-02-19,Water,350.9,366,64.07,Illegal Dumping,Recovered,2765318,276,No,149,9,139.3,3.23,63,7.03,26.4,Yes,Yes
86,Odisha,District_17,2015-04-17,Water,350.9,210,17.0,Illegal Dumping,Recovered,2463664,256,No,115,8,139.3,3.23,279,7.03,26.4,No,Yes
87,Tamil Nadu,District_13,2020-02-29,Water,350.9,32,90.68,Industrial Waste,Partially Recovered,4990921,244,No,60,4,139.3,3.23,181,7.03,26.4,Yes,Yes
88,Maharashtra,District_2,2021-07-04,Mixed,350.9,465,52.11,Illegal Dumping,Partially Recovered,3577269,85,No,63,4,139.3,3.23,201,7.03,26.4,No,Yes
89,Odisha,District_13,2011-10-23,Air,350.9,233,16.22,Illegal Dumping,Partially Recovered,3286021,70,No,179,8,139.3,3.23,145,7.03,26.4,Yes,Yes
90,Tamil Nadu,District_19,2011-05-15,Water,350.9,377,92.25,Industrial Waste,Partially Recovered,4875670,268,No,101,4,139.3,3.23,59,7.03,26.4,No,No
91,Tamil Nadu,District_3,2013-11-24,Mixed,350.9,279,75.99,Urban Expansion,Partially Recovered,759440,179,No,167,7,139.3,3.23,65,7.03,26.4,Yes,Yes
92,Maharashtra,District_10,2018-01-18,Air,350.9,356,73.44,Urban Expansion,Unrecovered,4630489,278,No,100,0,139.3,3.23,216,7.03,26.4,No,Yes
93,Karnataka,District_2,2018-07-21,Air,350.9,162,71.21,Illegal Dumping,Recovered,611108,148,No,139,0,139.3,3.23,145,7.03,26.4,No,No
94,Kerala,District_13,2014-06-10,Water,350.9,342,20.83,Industrial Waste,Unrecovered,3154349,5,No,119,3,139.3,3.23,67,7.03,26.4,Yes,No
95,Bihar,District_19,2021-01-15,Soil,350.9,94,21.89,Urban Expansion,Recovered,2528023,147,No,57,7,139.3,3.23,56,7.03,26.4,No,No
96,Kerala,District_17,2013-01-24,Soil,350.9,118,69.14,Agricultural Runoff,Partially Recovered,4285538,167,Yes,131,2,139.3,3.23,233,7.03,26.4,No,No
97,Punjab,District_14,2018-06-22,Soil,350.9,40,22.75,Deforestation,Unrecovered,4697926,8,No,37,0,139.3,3.23,294,7.03,26.4,No,No
98,Bihar,District_12,2019-07-25,Water,350.9,238,44.43,Deforestation,Recovered,2378398,177,No,111,8,139.3,3.23,131,7.03,26.4,Yes,Yes
99,Punjab,District_12,2023-08-07,Soil,350.9,249,78.42,Deforestation,Partially Recovered,863539,283,No,153,8,139.3,3.23,180,7.03,26.4,Yes,No
100,Odisha,District_11,2022-03-29,Mixed,350.9,387,78.61,Illegal Dumping,Partially Recovered,244501,115,No,149,8,139.3,3.23,178,7.03,26.4,Yes,No
101,Uttar Pradesh,District_7,2015-08-14,Mixed,350.9,372,45.87,Deforestation,Unrecovered,1709192,95,No,112,8,139.3,3.23,338,7.03,26.4,Yes,No
102,Maharashtra,District_4,2014-11-25,Mixed,350.9,319,79.43,Deforestation,Unrecovered,949057,55,Yes,170,1,139.3,3.23,123,7.03,26.4,No,Yes
103,Bihar,District_19,2013-06-18,Mixed,350.9,398,84.02,Agricultural Runoff,Unrecovered,1142655,206,No,1,3,139.3,3.23,108,7.03,26.4,No,No
104,Bihar,District_1,2018-12-23,Air,350.9,150,65.82,Urban Expansion,Partially Recovered,628725,104,Yes,23,1,139.3,3.23,121,7.03,26.4,Yes,No
105,Odisha,District_3,2022-08-09,Mixed,350.9,165,23.61,Agricultural Runoff,Recovered,3759586,34,No,107,6,139.3,3.23,209,7.03,26.4,No,Yes
106,Karnataka,District_13,2010-01-16,Soil,350.9,308,28.13,Illegal Dumping,Recovered,4402241,208,Yes,113,2,139.3,3.23,136,7.03,26.4,No,No
107,Tamil Nadu,District_15,2013-08-06,Water,350.9,354,32.17,Deforestation,Unrecovered,390445,280,Yes,152,8,139.3,3.23,66,7.03,26.4,Yes,Yes
108,Odisha,District_2,2010-03-08,Soil,350.9,380,12.56,Urban Expansion,Recovered,1755356,146,No,175,6,139.3,3.23,138,7.03,26.4,Yes,Yes
109,Gujarat,District_11,2023-01-25,Mixed,350.9,108,28.04,Deforestation,Partially Recovered,166454,286,Yes,89,7,139.3,3.23,198,7.03,26.4,No,No
110,Tamil Nadu,District_4,2015-03-31,Air,350.9,56,21.74,Deforestation,Recovered,48795,80,Yes,135,8,139.3,3.23,360,7.03,26.4,Yes,Yes
111,Maharashtra,District_19,2021-07-18,Mixed,350.9,496,46.08,Illegal Dumping,Partially Recovered,3207153,49,No,38,7,139.3,3.23,55,7.03,26.4,No,No
112,Tamil Nadu,District_17,2011-01-16,Water,350.9,336,90.94,Deforestation,Unrecovered,465755,86,Yes,47,6,139.3,3.23,133,7.03,26.4,No,No
113,Karnataka,District_3,2014-11-06,Soil,350.9,431,11.34,Industrial Waste,Recovered,1790139,190,Yes,103,8,139.3,3.23,133,7.03,26.4,Yes,No
114,Tamil Nadu,District_18,2015-10-07,Water,350.9,489,72.31,Urban Expansion,Partially Recovered,2472423,0,Yes,163,0,139.3,3.23,299,7.03,26.4,Yes,Yes
115,Maharashtra,District_8,2017-07-15,Water,350.9,76,69.04,Urban Expansion,Unrecovered,1262143,137,No,62,3,139.3,3.23,203,7.03,26.4,No,Yes
116,Karnataka,District_19,2016-10-31,Water,350.9,71,10.48,Industrial Waste,Unrecovered,2572114,135,No,73,3,139.3,3.23,121,7.03,26.4,Yes,Yes
117,Kerala,District_5,2021-06-19,Soil,350.9,118,92.33,Illegal Dumping,Unrecovered,2447452,153,No,3,4,139.3,3.23,158,7.03,26.4,No,Yes
118,Bihar,District_7,2020-12-23,Mixed,350.9,176,57.28,Deforestation,Unrecovered,439960,161,No,102,7,139.3,3.23,161,7.03,26.4,No,Yes
119,Bihar,District_8,2012-11-28,Water,350.9,46,37.01,Deforestation,Recovered,1409060,18,Yes,148,9,139.3,3.23,221,7.03,26.4,Yes,No
120,Punjab,District_5,2021-01-16,Soil,350.9,128,75.9,Urban Expansion,Partially Recovered,40568,242,No,105,0,139.3,3.23,236,7.03,26.4,Yes,No
121,Kerala,District_17,2015-12-02,Air,350.9,95,26.48,Illegal Dumping,Recovered,697887,128,Yes,44,5,139.3,3.23,334,7.03,26.4,Yes,No
122,Kerala,District_5,2010-06-08,Soil,350.9,391,69.66,Illegal Dumping,Partially Recovered,3121055,175,No,160,8,139.3,3.23,322,7.03,26.4,Yes,Yes
123,Tamil Nadu,District_4,2012-10-08,Air,350.9,401,4.93,Illegal Dumping,Unrecovered,240066,279,No,100,9,139.3,3.23,67,7.03,26.4,No,Yes
124,Bihar,District_19,2019-05-15,Soil,350.9,474,84.1,Deforestation,Recovered,1311583,83,Yes,26,7,139.3,3.23,217,7.03,26.4,Yes,Yes
125,Maharashtra,District_2,2012-07-14,Mixed,350.9,61,45.37,Illegal Dumping,Unrecovered,4206659,221,Yes,48,1,139.3,3.23,368,7.03,26.4,Yes,No
126,West Bengal,District_11,2020-03-12,Water,350.9,100,64.03,Industrial Waste,Partially Recovered,2203581,144,No,5,6,139.3,3.23,131,7.03,26.4,Yes,No
127,West Bengal,District_13,2016-11-24,Mixed,350.9,298,22.9,Agricultural Runoff,Unrecovered,1518077,105,No,59,4,139.3,3.23,124,7.03,26.4,No,Yes
128,Karnataka,District_15,2015-04-04,Soil,350.9,346,68.03,Illegal Dumping,Recovered,2585339,10,No,61,1,139.3,3.23,384,7.03,26.4,Yes,No
129,Bihar,District_12,2022-07-05,Water,350.9,307,77.45,Agricultural Runoff,Recovered,448949,165,No,49,0,139.3,3.23,395,7.03,26.4,Yes,Yes
130,Bihar,District_11,2016-10-12,Air,350.9,213,47.85,Deforestation,Partially Recovered,2218303,195,No,158,1,139.3,3.23,298,7.03,26.4,Yes,No
131,West Bengal,District_7,2010-04-24,Soil,350.9,377,62.15,Illegal Dumping,Partially Recovered,3960248,230,Yes,145,9,139.3,3.23,180,7.03,26.4,Yes,Yes
132,Bihar,District_5,2017-10-23,Water,350.9,247,46.18,Urban Expansion,Recovered,4379781,146,No,70,5,139.3,3.23,250,7.03,26.4,Yes,Yes
133,Tamil Nadu,District_17,2011-08-09,Air,350.9,391,89.52,Deforestation,Recovered,1490634,237,Yes,15,7,139.3,3.23,345,7.03,26.4,No,No
134,Gujarat,District_20,2014-10-26,Air,350.9,164,50.29,Industrial Waste,Recovered,3741804,12,No,1,2,139.3,3.23,117,7.03,26.4,No,No
135,Uttar Pradesh,District_9,2021-08-10,Mixed,350.9,249,84.34,Industrial Waste,Recovered,514898,218,No,141,4,139.3,3.23,69,7.03,26.4,No,Yes
136,Kerala,District_14,2011-08-27,Soil,350.9,145,80.33,Agricultural Runoff,Partially Recovered,2682969,256,Yes,176,1,139.3,3.23,320,7.03,26.4,Yes,No
137,Punjab,District_12,2015-05-02,Air,350.9,416,41.64,Agricultural Runoff,Recovered,1162154,1,No,128,7,139.3,3.23,142,7.03,26.4,Yes,No
138,Karnataka,District_6,2020-12-31,Water,350.9,371,23.78,Urban Expansion,Partially Recovered,2748343,209,Yes,162,3,139.3,3.23,182,7.03,26.4,No,No
139,Gujarat,District_17,2014-01-26,Air,350.9,390,41.2,Urban Expansion,Recovered,1621920,224,Yes,125,9,139.3,3.23,344,7.03,26.4,Yes,Yes
140,West Bengal,District_19,2017-03-31,Air,350.9,378,82.8,Industrial Waste,Recovered,2588617,193,No,158,5,139.3,3.23,345,7.03,26.4,No,No
141,Kerala,District_19,2020-03-03,Mixed,350.9,73,23.54,Illegal Dumping,Unrecovered,3746437,195,Yes,19,2,139.3,3.23,184,7.03,26.4,Yes,No
142,Bihar,District_16,2017-07-27,Mixed,350.9,132,52.92,Industrial Waste,Unrecovered,1747568,259,No,119,7,139.3,3.23,82,7.03,26.4,No,No
143,Punjab,District_12,2020-09-07,Water,350.9,263,80.8,Industrial Waste,Recovered,3457557,56,No,64,7,139.3,3.23,342,7.03,26.4,No,No
144,Bihar,District_12,2013-03-07,Mixed,350.9,486,35.99,Urban Expansion,Partially Recovered,2175742,112,No,66,2,139.3,3.23,81,7.03,26.4,Yes,Yes
145,Maharashtra,District_20,2015-06-20,Air,350.9,123,64.58,Agricultural Runoff,Recovered,3426849,212,No,57,8,139.3,3.23,92,7.03,26.4,Yes,Yes
146,Maharashtra,District_6,2014-04-11,Air,350.9,29,25.32,Urban Expansion,Unrecovered,845399,278,No,44,9,139.3,3.23,341,7.03,26.4,Yes,Yes
147,Punjab,District_4,2019-03-22,Mixed,350.9,25,11.82,Urban Expansion,Recovered,1394792,243,No,12,4,139.3,3.23,354,7.03,26.4,Yes,No
148,Punjab,District_6,2014-04-05,Air,350.9,154,79.64,Urban Expansion,Unrecovered,4703507,116,No,122,9,139.3,3.23,330,7.03,26.4,Yes,Yes
149,West Bengal,District_11,2019-09-12,Air,350.9,217,10.8,Industrial Waste,Recovered,4383415,86,Yes,168,8,139.3,3.23,157,7.03,26.4,No,No
150,Punjab,District_1,2022-03-22,Water,350.9,28,27.87,Illegal Dumping,Recovered,4606416,262,No,24,6,139.3,3.23,145,7.03,26.4,Yes,Yes
151,Tamil Nadu,District_15,2021-10-03,Mixed,350.9,385,85.66,Industrial Waste,Partially Recovered,367479,299,Yes,139,9,139.3,3.23,115,7.03,26.4,No,Yes
152,Bihar,District_11,2020-10-25,Air,350.9,401,35.3,Deforestation,Unrecovered,4192827,112,No,1,2,139.3,3.23,58,7.03,26.4,Yes,No
153,Gujarat,District_19,2023-05-13,Mixed,350.9,175,97.33,Urban Expansion,Unrecovered,3588902,163,No,28,5,139.3,3.23,279,7.03,26.4,No,No
154,Odisha,District_18,2018-01-10,Water,350.9,47,97.99,Urban Expansion,Unrecovered,1493704,3,Yes,68,9,139.3,3.23,270,7.03,26.4,No,No
155,Punjab,District_17,2019-06-03,Mixed,350.9,190,27.56,Deforestation,Partially Recovered,10814,117,Yes,105,1,139.3,3.23,327,7.03,26.4,No,Yes
156,Karnataka,District_19,2016-09-14,Air,350.9,358,5.06,Urban Expansion,Recovered,2575644,22,Yes,94,5,139.3,3.23,148,7.03,26.4,Yes,No
157,Maharashtra,District_14,2020-11-27,Mixed,350.9,114,70.8,Urban Expansion,Partially Recovered,1028585,232,Yes,124,4,139.3,3.23,320,7.03,26.4,No,No
158,Tamil Nadu,District_18,2017-02-27,Air,350.9,109,45.65,Urban Expansion,Recovered,4143726,89,No,124,2,139.3,3.23,312,7.03,26.4,Yes,No
159,Kerala,District_19,2019-01-27,Air,350.9,99,10.97,Deforestation,Partially Recovered,4208129,254,No,22,6,139.3,3.23,213,7.03,26.4,No,Yes
160,Odisha,District_15,2022-10-11,Air,350.9,424,71.04,Industrial Waste,Partially Recovered,2515168,91,Yes,157,3,139.3,3.23,65,7.03,26.4,Yes,No
161,Gujarat,District_15,2019-11-25,Water,350.9,309,4.09,Urban Expansion,Unrecovered,2193542,154,No,89,5,139.3,3.23,218,7.03,26.4,No,Yes
